D02_01_TEST event=fixture_world_reload_requested wall=0.003876 phase=0 waypoint=0 location=V(0) loads=0 unloads=0
D02_01_TEST event=waypoint_reached wall=146.720220 phase=8 waypoint=2 location=V(X=4000.88, Y=-721.49, Z=90.00) loads=37 unloads=22
D02_01_TEST event=waypoint_reached wall=154.477428 phase=8 waypoint=3 location=V(X=77.23, Y=-799.68, Z=90.00) loads=37 unloads=22
D02_01_TEST event=waypoint_reached wall=156.053005 phase=8 waypoint=4 location=V(X=1.08, Y=-75.18, Z=90.00) loads=37 unloads=22
D02_01_TEST event=defeat_restore wall=156.053083 phase=9 waypoint=0 location=V(X=1.08, Y=-75.18, Z=90.00) loads=37 unloads=22
D02_01_TEST event=persistent_encounter_awake_after_defeat wall=156.068191 phase=9 waypoint=0 location=V(X=0.98, Y=-67.91, Z=90.00) loads=37 unloads=22
D02_01_TEST event=invalid_debug_relocation wall=156.068444 phase=10 waypoint=0 location=V(X=100000.00, Z=-1000.00) loads=37 unloads=22
D02_01_TEST event=debug_relocation_recovered wall=156.273747 phase=10 waypoint=0 location=V(X=1.08, Y=-75.18, Z=90.00) loads=40 unloads=25
D02_01_TEST event=asynchronous_relocation wall=156.275415 phase=11 waypoint=0 location=V(X=1.08, Y=-75.18, Z=90.00) loads=40 unloads=25
D02_01_TEST event=unavailable_relocation wall=156.383216 phase=12 waypoint=0 location=V(X=19000.00, Z=90.00) loads=46 unloads=25
D02_01_TEST event=relocation_retry wall=166.387754 phase=13 waypoint=0 location=V(X=19000.00, Z=90.00) loads=46 unloads=33
D02_01_TEST event=capture_wait wall=166.441456 phase=14 waypoint=0 location=V(Z=90.00) loads=51 unloads=33
D02_01_TEST event=complete wall=166.644342 phase=14 waypoint=0 location=V(Z=90.00) loads=51 unloads=39
