render_tick,elapsed_seconds
0,0.030166906
1,0.045907638
2,0.063693044
3,0.080114931
4,0.413136197
5,0.420604499
6,0.436770301
7,0.453692559
8,0.484943257
9,0.499184117
10,0.517371932
11,0.534276029
12,0.550295787
13,0.567999342
14,0.585522012
15,0.604593417
16,0.622456485
17,0.639712181
