frame,time,phase,age,fire_time,fire_weight,hit_time,hit_weight,barrel_angle,foot_displacement,ammo,health
1173,4.847087,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59,100.000000
1174,4.859794,3,0.012707,0.025414,0.540048,0.000000,0.000000,0.352492,0.002862,59,100.000000
1175,4.871756,3,0.024669,0.049339,0.850000,0.000000,0.000000,0.759528,0.004644,59,100.000000
1176,4.883989,3,0.036902,0.073804,0.850000,0.000000,0.000000,1.099091,0.005476,59,100.000000
1177,4.898760,3,0.051673,0.103347,0.850000,0.000000,0.000000,1.557865,0.006812,59,100.000000
1178,4.911756,3,0.064669,0.129338,0.850000,0.000000,0.000000,1.671800,0.005054,59,100.000000
1179,4.923623,3,0.076535,0.153071,0.850000,0.000000,0.000000,1.544184,0.003150,59,100.000000
1180,4.936276,3,0.089189,0.178378,0.850000,0.000000,0.000000,1.302057,0.002313,59,100.000000
1181,4.948177,3,0.101090,0.202180,0.850000,0.000000,0.000000,1.008215,0.006763,59,100.000000
1182,4.960263,3,0.113176,0.226352,0.850000,0.000000,0.000000,0.655470,0.011608,59,100.000000
1183,4.973098,3,0.126011,0.252021,0.850000,0.000000,0.000000,0.322798,0.014028,59,100.000000
1184,4.985229,3,0.138142,0.276284,0.850000,0.000000,0.000000,0.199976,0.013720,59,100.000000
1185,4.997447,3,0.150360,0.300720,0.850000,0.000000,0.000000,0.387116,0.013411,59,100.000000
1186,5.009582,3,0.162495,0.324990,0.850000,0.000000,0.000000,0.482921,0.010954,59,100.000000
1187,5.021248,3,0.174161,0.348322,0.850000,0.000000,0.000000,0.507450,0.008057,59,100.000000
1188,5.033322,3,0.186235,0.372470,0.850000,0.000000,0.000000,0.473302,0.005072,59,100.000000
1189,5.045349,3,0.198262,0.396524,0.850000,0.000000,0.000000,0.378901,0.006451,59,100.000000
1190,5.216022,3,0.368935,0.000000,0.000000,0.000000,0.000000,0.000000,0.020334,59,100.000000
1191,5.222827,3,0.375740,0.000000,0.000000,0.000000,0.000000,0.000000,0.020099,59,100.000000
1192,5.228564,3,0.381477,0.000000,0.000000,0.000000,0.000000,0.000000,0.019916,59,100.000000
1193,5.239511,3,0.392424,0.000000,0.000000,0.000000,0.000000,0.000000,0.021046,59,100.000000
1194,5.252482,3,0.405395,0.000000,0.000000,0.000000,0.000000,0.000000,0.024564,59,100.000000
1195,5.266877,3,0.419790,0.000000,0.000000,0.000000,0.000000,0.000000,0.029334,59,100.000000
1196,5.281553,3,0.434465,0.000000,0.000000,0.000000,0.000000,0.000000,0.031053,59,100.000000
1197,5.293475,3,0.446388,0.000000,0.000000,0.000000,0.000000,0.000000,0.032976,59,100.000000
1198,5.305079,3,0.457992,0.000000,0.000000,0.000000,0.000000,0.000000,0.033092,59,100.000000
1199,5.315182,3,0.468095,0.000000,0.000000,0.000000,0.000000,0.000000,0.031065,59,100.000000
1200,5.326393,3,0.479306,0.000000,0.000000,0.000000,0.000000,0.000000,0.029151,59,100.000000
1201,5.337500,3,0.490412,0.000000,0.000000,0.000000,0.000000,0.000000,0.028907,59,100.000000
1202,5.348487,3,0.501400,0.000000,0.000000,0.000000,0.000000,0.000000,0.030955,59,100.000000
1203,5.359639,3,0.512552,0.000000,0.000000,0.000000,0.000000,0.000000,0.033165,59,100.000000
1204,5.370702,3,0.523615,0.000000,0.000000,0.000000,0.000000,0.000000,0.032903,59,100.000000
1205,5.381376,3,0.534288,0.000000,0.000000,0.000000,0.000000,0.000000,0.029490,59,100.000000
1206,5.393876,3,0.546789,0.000000,0.000000,0.000000,0.000000,0.000000,0.028084,59,100.000000
1207,5.405120,3,0.558033,0.000000,0.000000,0.000000,0.000000,0.000000,0.029723,59,100.000000
1208,5.415483,3,0.568396,0.000000,0.000000,0.000000,0.000000,0.000000,0.032188,59,100.000000
1209,5.426303,3,0.579216,0.000000,0.000000,0.000000,0.000000,0.000000,0.034900,59,100.000000
1210,5.436755,3,0.589668,0.000000,0.000000,0.000000,0.000000,0.000000,0.036934,59,100.000000
1211,5.447520,3,0.600433,0.000000,0.000000,0.000000,0.000000,0.000000,0.037601,59,100.000000
1212,5.458011,3,0.610924,0.000000,0.000000,0.000000,0.000000,0.000000,0.038260,59,100.000000
1213,5.468224,3,0.621137,0.000000,0.000000,0.000000,0.000000,0.000000,0.038993,59,100.000000
1214,5.478585,3,0.631497,0.000000,0.000000,0.000000,0.000000,0.000000,0.040316,59,100.000000
1215,5.488949,3,0.641862,0.000000,0.000000,0.000000,0.000000,0.000000,0.041666,59,100.000000
1216,5.500184,3,0.653096,0.000000,0.000000,0.000000,0.000000,0.000000,0.043169,59,100.000000
1217,5.510659,3,0.663572,0.000000,0.000000,0.000000,0.000000,0.000000,0.044836,59,100.000000
1218,5.520718,3,0.673631,0.000000,0.000000,0.000000,0.000000,0.000000,0.046461,59,100.000000
