frame,time,phase,age,fire_time,fire_weight,hit_time,hit_weight,barrel_angle,foot_displacement,ammo,health
1106,4.848529,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59,100.000000
1107,4.858976,3,0.010447,0.020894,0.444005,0.000000,0.000000,0.238429,0.002357,59,100.000000
1108,4.869055,3,0.020526,0.041051,0.850000,0.000000,0.000000,0.711945,0.004191,59,100.000000
1109,4.879923,3,0.031394,0.062788,0.850000,0.000000,0.000000,0.946866,0.004857,59,100.000000
1110,4.892676,3,0.044147,0.088293,0.850000,0.000000,0.000000,1.324296,0.005949,59,100.000000
1111,4.905077,3,0.056549,0.113097,0.850000,0.000000,0.000000,1.597644,0.005861,59,100.000000
1112,4.918369,3,0.069840,0.139679,0.850000,0.000000,0.000000,1.643894,0.003731,59,100.000000
1113,4.930209,3,0.081680,0.163360,0.850000,0.000000,0.000000,1.468233,0.001835,59,100.000000
1114,4.942493,3,0.093964,0.187928,0.850000,0.000000,0.000000,1.186372,0.004502,59,100.000000
1115,4.954177,3,0.105648,0.211296,0.850000,0.000000,0.000000,0.874745,0.009169,59,100.000000
1116,4.966688,3,0.118159,0.236317,0.850000,0.000000,0.000000,0.515672,0.014224,59,100.000000
1117,4.979227,3,0.130698,0.261396,0.850000,0.000000,0.000000,0.232481,0.013908,59,100.000000
1118,4.989672,3,0.141143,0.282286,0.850000,0.000000,0.000000,0.228980,0.013642,59,100.000000
1119,5.000828,3,0.152299,0.304598,0.850000,0.000000,0.000000,0.400792,0.013181,59,100.000000
1120,5.013378,3,0.164849,0.329698,0.850000,0.000000,0.000000,0.503759,0.010057,59,100.000000
1121,5.025709,3,0.177180,0.354360,0.850000,0.000000,0.000000,0.503302,0.007013,59,100.000000
1122,5.038282,3,0.189753,0.379506,0.850000,0.000000,0.000000,0.445209,0.005702,59,100.000000
1123,5.050395,3,0.201866,0.403732,0.850000,0.000000,0.000000,0.351241,0.007089,59,100.000000
1124,5.206209,3,0.357680,0.000000,0.000000,0.000000,0.000000,0.000000,0.020946,59,100.000000
1125,5.213431,3,0.364902,0.000000,0.000000,0.000000,0.000000,0.000000,0.020657,59,100.000000
1126,5.216193,3,0.367664,0.000000,0.000000,0.000000,0.000000,0.000000,0.020547,59,100.000000
1127,5.229443,3,0.380914,0.000000,0.000000,0.000000,0.000000,0.000000,0.020096,59,100.000000
1128,5.244756,3,0.396227,0.000000,0.000000,0.000000,0.000000,0.000000,0.022591,59,100.000000
1129,5.259425,3,0.410896,0.000000,0.000000,0.000000,0.000000,0.000000,0.027082,59,100.000000
1130,5.273621,3,0.425092,0.000000,0.000000,0.000000,0.000000,0.000000,0.030308,59,100.000000
1131,5.287800,3,0.439271,0.000000,0.000000,0.000000,0.000000,0.000000,0.032263,59,100.000000
