phase,fire_peak,hit_peak,barrel_peak,foot_peak
fire,0.850000,0.000000,1.643894,0.014224
hit,0.000000,0.650000,2.019557,0.034535
overlap,0.850000,0.650000,1.933388,0.008541
rival_hit,0.000000,0.650000,1.926774,0.011291
