frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
65,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
66,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
67,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
68,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
69,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
70,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
71,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
72,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
73,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
74,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
75,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
76,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
77,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
78,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
79,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
80,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
81,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
82,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
83,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
84,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
85,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
86,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
87,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
88,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
89,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
90,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
91,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
92,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
93,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
94,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
95,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
96,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
97,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
98,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
99,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
100,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
101,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
102,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
103,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
104,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
105,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
106,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
107,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
108,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
109,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
110,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
111,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
112,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
113,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
114,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
115,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
116,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
117,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
118,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
119,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
120,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
121,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
122,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
123,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
124,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
125,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
126,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
127,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
128,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
129,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
130,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
131,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
132,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
133,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
134,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
135,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
136,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
137,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
138,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
139,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
140,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
141,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
142,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
143,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
144,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
145,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
146,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
147,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
148,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
149,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
150,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
151,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
