frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
1118,4.108358,3,6010.4157,-1000.0000,90.0000,18.5948,3.3527,6.1324,1,1
1119,4.120759,3,6013.3783,-1000.0000,90.0000,18.3346,0.8254,6.1324,1,1
1120,4.133006,3,6016.6641,-1000.0000,90.0000,18.1220,-2.2098,6.1324,1,1
1121,4.145446,3,6020.3731,-1000.0000,90.0000,17.8870,-5.9051,6.1324,1,1
1122,4.157902,3,6024.4596,-1000.0000,90.0000,17.6448,-10.1327,6.1324,1,1
1123,4.170105,3,6028.8199,-1000.0000,90.0000,17.3441,-14.7653,6.1324,1,1
1124,4.182215,3,6033.4995,-1000.0000,90.0000,16.8131,-19.8715,6.1324,1,1
1125,4.194563,3,6038.6367,-1000.0000,90.0000,16.0743,-25.2565,6.1324,1,1
1126,4.207326,3,6044.3373,-1000.0000,90.0000,15.1196,-30.9328,7.3574,1,1
1127,4.219777,3,6050.2712,-1000.0000,90.0000,13.9960,-36.1853,9.1577,1,1
1128,4.232050,3,6056.4809,-1000.0000,90.0000,12.7617,-40.3723,11.5734,1,1
1129,4.244151,3,6062.7738,-1000.0000,90.0000,11.7003,-43.6444,14.1914,1,1
1130,4.255952,3,6068.9100,-1000.0000,90.0000,10.7923,-45.5417,16.8282,1,1
1131,4.267796,3,6075.0693,-1000.0000,90.0000,10.0260,-46.0751,19.4247,1,1
1132,4.279954,3,6081.3912,-1000.0000,90.0000,9.4024,-45.5382,21.3980,1,1
1133,4.292203,3,6087.7606,-1000.0000,90.0000,8.9513,-43.6314,22.6059,1,1
1134,4.304379,3,6094.0925,-1000.0000,90.0000,8.5677,-40.8861,23.2963,1,1
1135,4.316783,3,6100.5425,-1000.0000,90.0000,8.1729,-37.5832,23.5652,1,1
1136,4.329990,3,6107.4099,-1000.0000,90.0000,7.4920,-33.1293,23.0757,1,1
1137,4.342743,3,6114.0415,-1000.0000,90.0000,6.5693,-27.1878,21.4843,1,1
1138,4.356223,3,6121.0513,-1000.0000,90.0000,5.7728,-19.6462,19.5820,1,1
1139,4.369331,3,6127.8672,-1000.0000,90.0000,5.1339,-12.8546,16.8930,1,1
1140,4.381651,3,6134.2735,-1000.0000,90.0000,4.7235,-5.2386,14.2327,1,1
1141,4.393493,3,6140.4318,-1000.0000,90.0000,4.4667,2.4513,12.1778,1,1
1142,4.405771,3,6146.8162,-1000.0000,90.0000,4.3777,10.1211,9.9540,1,1
1143,4.419295,3,6153.8487,-1000.0000,90.0000,4.3970,18.9777,8.8223,1,1
1144,4.431970,3,6160.4396,-1000.0000,90.0000,4.5618,24.8106,8.8389,1,1
1145,4.443992,3,6166.6912,-1000.0000,90.0000,4.6135,28.5044,8.9012,1,1
1146,4.456273,3,6173.0770,-1000.0000,90.0000,4.6970,31.9008,9.2189,1,1
1147,4.468677,3,6179.5271,-1000.0000,90.0000,4.6242,31.3873,8.7079,1,1
1148,4.480708,3,6185.7835,-1000.0000,90.0000,4.4709,30.4611,8.0904,1,1
1149,4.492927,3,6192.1373,-1000.0000,90.0000,4.0421,28.5513,7.0497,1,1
1150,4.505009,3,6198.4199,-1000.0000,90.0000,3.9958,25.4165,6.1324,1,1
1151,4.517343,3,6204.8333,-1000.0000,90.0000,3.4811,21.1108,6.1324,1,1
1152,4.529508,3,6211.1594,-1000.0000,90.0000,2.8805,16.1428,6.1324,1,1
1153,4.542502,3,6217.9160,-1000.0000,90.0000,2.3169,9.4831,6.1324,1,1
1154,4.557050,3,6225.4814,-1000.0000,90.0000,2.0656,1.8859,6.1324,1,1
1155,4.569955,3,6232.1916,-1000.0000,90.0000,2.3263,-4.7628,6.1324,1,1
1156,4.583329,3,6239.1464,-1000.0000,90.0000,2.5866,-11.9665,6.1324,1,1
1157,4.596935,3,6246.2215,-1000.0000,90.0000,2.7112,-18.6294,6.1324,1,1
1158,4.609485,3,6252.7472,-1000.0000,90.0000,2.8223,-24.0843,6.1904,1,1
1159,4.625035,3,6260.8332,-1000.0000,90.0000,3.4213,-30.9586,8.3772,1,1
1160,4.638943,3,6268.0653,-1000.0000,90.0000,3.6795,-36.5818,11.2047,1,1
1161,4.652356,3,6275.0403,-1000.0000,90.0000,4.3624,-41.7916,14.5032,1,1
1162,4.665311,3,6281.7770,-1000.0000,90.0000,4.4472,-47.2561,17.9168,1,1
1163,4.678844,3,6288.8141,-1000.0000,90.0000,4.1248,-53.1948,21.9605,1,1
1164,4.691781,3,6295.5412,-1000.0000,90.0000,3.9849,-58.1947,24.1504,1,1
1165,4.704785,3,6302.3033,-1000.0000,90.0000,3.6538,-58.7041,27.4879,1,1
1166,4.718126,3,6309.2408,-1000.0000,90.0000,3.2713,-58.7101,30.9912,1,1
1167,4.731276,3,6316.0789,-1000.0000,90.0000,2.9843,-57.6194,33.4174,1,1
1168,4.744464,3,6322.9364,-1000.0000,90.0000,2.8940,-55.7221,35.0744,1,1
1169,4.757744,3,6329.8421,-1000.0000,90.0000,3.0816,-53.2687,37.4879,1,1
1170,4.771281,3,6336.8815,-1000.0000,90.0000,3.7508,-49.4263,37.4018,1,1
1171,4.784871,3,6343.9480,-1000.0000,90.0000,4.2189,-45.0353,37.4044,1,1
1172,4.798427,3,6350.9971,-1000.0000,90.0000,4.5525,-40.0261,35.7876,1,1
1173,4.811872,3,6357.9885,-1000.0000,90.0000,4.8821,-34.6702,33.1019,1,1
1174,4.824868,3,6364.7467,-1000.0000,90.0000,5.0274,-29.1697,30.7741,1,1
1175,4.837758,3,6371.4492,-1000.0000,90.0000,4.8471,-24.1908,27.4514,1,1
1176,4.850400,3,6378.0232,-1000.0000,90.0000,4.8663,-18.5768,24.4860,1,1
1177,4.863024,3,6384.5877,-1000.0000,90.0000,4.8155,-12.6207,23.8767,1,1
1178,4.875883,3,6391.2742,-1000.0000,90.0000,4.5791,-6.3422,20.6809,1,1
1179,4.888637,3,6397.9064,-1000.0000,90.0000,4.5926,1.0833,17.9097,1,1
1180,4.902239,3,6404.9794,-1000.0000,90.0000,4.3109,7.6554,15.6847,1,1
1181,4.915435,3,6411.8413,-1000.0000,90.0000,4.3001,14.1766,14.0292,1,1
1182,4.928002,3,6418.3763,-1000.0000,90.0000,4.2760,19.8597,12.9707,1,1
1183,4.941034,3,6425.1530,-1000.0000,90.0000,4.1035,24.3631,11.7133,1,1
1184,4.954063,3,6431.9282,-1000.0000,90.0000,4.3415,28.4794,11.1116,1,1
1185,4.967360,3,6438.8424,-1000.0000,90.0000,5.3042,28.6764,10.1924,1,1
1186,4.980966,3,6445.9177,-1000.0000,90.0000,6.0167,27.0213,8.7855,1,1
1187,4.994007,3,6452.6990,-1000.0000,90.0000,6.4032,24.4190,7.3337,1,1
1188,5.007849,3,6459.8969,-1000.0000,90.0000,5.9610,18.2803,6.1324,1,1
1189,5.021437,3,6466.9623,-1000.0000,90.0000,4.9407,11.9260,6.1324,1,1
1190,5.034594,3,6473.8038,-1000.0000,90.0000,3.6503,5.5057,6.1324,1,1
1191,5.049260,3,6481.4306,-1000.0000,90.0000,3.0298,-1.8877,6.1324,1,1
1192,5.062371,3,6488.2480,-1000.0000,90.0000,2.9299,-8.4590,6.1324,1,1
1193,5.075380,3,6495.0128,-1000.0000,90.0000,3.0927,-15.0221,6.1324,1,1
1194,5.088465,3,6501.8169,-1000.0000,90.0000,3.3869,-21.6220,6.1324,1,1
1195,5.100608,3,6508.1313,-1000.0000,90.0000,3.2938,-26.9241,6.1324,1,1
1196,5.113496,3,6514.8333,-1000.0000,90.0000,3.5053,-32.5781,6.1324,1,1
1197,5.126668,3,6521.6825,-1000.0000,90.0000,4.0295,-38.1657,7.3112,1,1
1198,5.139578,3,6528.3955,-1000.0000,90.0000,4.4050,-42.7135,8.9657,1,1
1199,5.153872,3,6535.8288,-1000.0000,90.0000,5.1427,-47.5880,11.3929,1,1
1200,5.167487,3,6542.9082,-1000.0000,90.0000,5.3039,-51.6988,14.6770,1,1
1201,5.181323,3,6550.1029,-1000.0000,90.0000,5.4742,-55.4919,18.4109,1,1
1202,5.194672,3,6557.0449,-1000.0000,90.0000,5.6769,-58.3998,22.2096,1,1
1203,5.208113,3,6564.0340,-1000.0000,90.0000,5.3440,-59.8923,24.5265,1,1
1204,5.221530,3,6571.0108,-1000.0000,90.0000,5.0056,-60.9524,28.1781,1,1
1205,5.234937,3,6577.9826,-1000.0000,90.0000,4.6650,-60.5697,30.5562,1,1
1206,5.248223,3,6584.8914,-1000.0000,90.0000,4.4534,-59.5584,32.7365,1,1
1207,5.261640,3,6591.8679,-1000.0000,90.0000,4.3764,-57.8407,34.5185,1,1
1208,5.274661,3,6598.6390,-1000.0000,90.0000,4.6212,-55.1550,35.7191,1,1
1209,5.288703,3,6605.9409,-1000.0000,90.0000,4.8090,-51.7037,37.2234,1,1
1210,5.301809,3,6612.7560,-1000.0000,90.0000,5.4447,-47.5250,36.2393,1,1
1211,5.314815,3,6619.5190,-1000.0000,90.0000,6.0078,-42.8240,34.9197,1,1
1212,5.328285,3,6626.5235,-1000.0000,90.0000,6.3853,-37.7947,33.0265,1,1
1213,5.340895,3,6633.0805,-1000.0000,90.0000,6.6791,-32.3517,30.0735,1,1
1214,5.354565,3,6640.1889,-1000.0000,90.0000,6.8906,-25.8666,27.0199,1,1
1215,5.367306,3,6646.8142,-1000.0000,90.0000,6.6208,-20.3311,24.0139,1,1
1216,5.380292,3,6653.5673,-1000.0000,90.0000,6.3491,-14.0072,22.6064,1,1
1217,5.393073,3,6660.2130,-1000.0000,90.0000,6.1550,-7.2917,20.1021,1,1
1218,5.405826,3,6666.8447,-1000.0000,90.0000,5.8486,-0.4692,16.8194,1,1
1219,5.418556,3,6673.4641,-1000.0000,90.0000,5.7347,7.0505,14.6219,1,1
1220,5.431464,4,6680.1767,-1000.0000,90.0000,5.6426,13.7283,13.2051,1,1
1221,5.444176,4,6686.1146,-998.9400,90.0000,5.5213,19.2586,12.4624,1,1
1222,5.630700,4,6686.1146,-901.9479,90.0000,42.2814,-6.7486,27.2282,1,1
1223,5.633186,4,6686.1146,-900.6550,90.0000,41.6556,-6.0282,27.2001,1,1
1224,5.642098,4,6686.1146,-896.0206,90.0000,39.3012,-3.6682,27.1016,1,1
1225,5.654183,4,6686.1146,-889.7364,90.0000,35.3755,-0.7538,25.5097,1,1
