phase,camera_pitch,barrel_pitch,pitch_error,ray_angle,weight
level,0.000000,-11.870069,11.870069,165.669556,0.000000
down,-45.000000,-11.953337,33.046661,122.570908,0.000000
up_turned,12.000000,-11.835525,23.835526,172.158783,0.000000
