frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1143,3.018936,2,0.000000,-0.000000,-18.000000,-18.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779552,8.687359,6.132371
1144,3.031434,2,0.012498,0.000000,-16.500288,-16.500288,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779004,8.683273,6.132371
1145,3.044632,2,0.025695,0.000000,-14.916561,-14.916561,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778292,8.679228,6.132371
1146,3.057157,2,0.038221,0.000000,-13.413536,-13.413535,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777594,8.675435,6.132371
1147,3.070271,2,0.051334,0.000000,-11.839873,-11.839872,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776334,8.673605,6.132371
1148,3.082784,2,0.063848,0.000000,-10.338291,-10.338290,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773829,8.677265,6.132371
1149,3.096421,2,0.077485,0.000000,-8.701817,-8.701817,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771092,8.681263,6.132371
1150,3.109276,2,0.090340,0.000000,-7.159186,-7.159186,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772792,8.682955,6.132371
1151,3.121750,2,0.102814,0.000000,-5.662302,-5.662301,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776044,8.683825,6.132371
1152,3.134019,2,0.115083,0.000000,-4.190038,-4.190038,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779032,8.684621,6.132371
1153,3.145808,2,0.126871,0.000000,-2.775441,-2.775441,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778386,8.684387,6.132371
1154,3.157717,2,0.138781,0.000000,-1.346253,-1.346253,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777735,8.684149,6.132371
1155,3.169816,2,0.150880,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776543,8.683830,6.132371
1156,3.182915,2,0.163979,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773648,8.683263,6.132371
