frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
533,0.449178629,18.057993,18.572485,warmup,terminal,1,2.994000,17.382999,1.329000,5.824000,15.545000,0.370000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
534,0.468098262,18.919633,18.053984,warmup,terminal,1,2.969000,18.941000,1.134000,5.800000,15.039000,0.895000,0.020000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
535,0.487109536,19.011274,18.952493,warmup,terminal,1,2.956000,17.150000,1.339000,5.813000,15.953000,0.400000,0.018000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
536,0.505312993,18.203457,18.980894,warmup,terminal,1,3.011000,19.471001,1.739000,5.812000,16.080000,0.548000,0.021000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
537,0.525280167,19.967174,18.170306,warmup,terminal,1,3.180000,18.620001,3.704000,5.825000,15.053000,0.755000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
538,0.543659898,18.379731,20.003975,warmup,terminal,1,3.169000,18.038000,2.039000,5.865000,16.854000,0.679000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
539,0.564049631,20.389733,18.432472,warmup,terminal,1,3.066000,17.336000,2.483000,5.792000,15.210000,0.844000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
540,0.584584168,20.534537,20.346653,warmup,terminal,1,2.940000,19.566000,2.086000,5.848000,17.399000,0.554000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
541,0.604547742,19.963574,20.561536,warmup,terminal,1,2.982000,20.384001,2.169000,5.837000,17.582001,0.539000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
542,0.624710451,20.162709,19.914604,warmup,terminal,1,3.154000,19.139999,1.798000,5.836000,17.034000,0.533000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
543,0.644174755,19.464304,20.191059,warmup,terminal,1,2.942000,19.400000,2.166000,5.896000,16.987000,1.075000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
544,0.663503386,19.328631,19.425994,warmup,terminal,1,2.973000,18.226000,1.516000,5.884000,16.500999,0.532000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
545,0.682809516,19.306130,19.331400,warmup,terminal,1,2.927000,19.931999,1.767000,5.840000,16.355000,0.454000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
546,0.702045745,19.236229,19.334971,warmup,terminal,1,3.048000,18.582001,1.678000,5.822000,16.396999,0.948000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
547,0.721154971,19.109226,19.218009,warmup,terminal,1,2.916000,17.892000,1.895000,5.964000,16.204000,0.505000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
548,0.739618634,18.463663,19.129707,warmup,terminal,1,2.920000,19.039000,1.346000,5.912000,16.209999,0.390000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
549,0.758297961,18.679327,18.475182,warmup,terminal,1,2.835000,16.948000,1.541000,5.915000,15.553000,0.680000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
550,0.776600690,18.302729,18.635657,warmup,terminal,1,2.945000,18.250999,1.327000,5.939000,15.850000,0.492000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
551,0.795392670,18.791980,18.359050,warmup,terminal,1,2.836000,18.096001,1.364000,5.924000,15.343000,0.340000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
552,0.814331003,18.938333,18.737718,warmup,terminal,1,2.785000,18.646000,1.335000,5.891000,15.984000,0.490000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
553,0.833643403,19.312400,18.932843,warmup,terminal,1,2.690000,19.016001,1.241000,5.922000,16.184000,0.405000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
554,0.852256769,18.613366,19.339721,warmup,terminal,1,3.062000,17.955000,1.327000,5.905000,16.483999,0.576000,0.021000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
555,0.871176710,18.919941,18.585815,warmup,terminal,1,2.809000,18.760000,1.229000,5.956000,15.615000,0.646000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
556,0.890045212,18.868502,18.921523,warmup,terminal,1,2.913000,17.615000,1.199000,5.897000,16.048000,0.887000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
557,0.909167138,19.121926,18.891962,warmup,terminal,1,3.026000,17.339001,1.051000,5.877000,16.031000,0.842000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
558,0.929179284,20.012146,19.096435,warmup,terminal,1,2.816000,18.921000,1.511000,5.907000,16.087999,1.016000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
559,0.948661358,19.482074,20.014446,warmup,terminal,1,2.953000,18.867001,1.432000,5.917000,17.113001,0.691000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
560,0.968487800,19.826442,19.508114,warmup,terminal,1,2.859000,18.653999,1.175000,5.875000,16.577999,1.152000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
561,0.989444116,20.956316,19.870083,warmup,terminal,1,2.850000,18.875000,3.014000,5.910000,17.054001,0.473000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
562,1.012573797,23.129681,20.930985,warmup,terminal,1,2.898000,22.608000,10.002000,5.975000,18.087999,1.387000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
563,1.031291616,18.717819,23.140672,warmup,terminal,1,3.054000,19.054001,1.254000,5.978000,20.084000,1.248000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
564,1.051084956,19.793340,18.661757,warmup,terminal,1,3.182000,18.598000,1.215000,5.937000,15.717000,0.492000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
