phase,camera_pitch,barrel_pitch,pitch_error,ray_angle,weight
level,0.000000,-0.000000,0.000000,0.000000,1.000000
down,-45.000000,-45.000000,0.000000,0.000001,1.000000
up_turned,12.000000,12.000000,0.000000,0.000000,1.000000
moving,-30.000000,-30.000000,0.000000,0.000001,1.000000
landed,-30.000000,-30.000002,0.000002,0.000000,1.000000
awake,-30.000000,-30.000002,0.000002,0.000001,1.000000
after_seat,-30.000000,-30.000002,0.000002,0.000001,1.000000
