age,gain
0.016667,0.375000
0.033334,0.437500
0.050000,0.500000
0.066667,0.562500
0.083334,0.625000
0.100000,0.687500
0.116667,0.750000
0.133334,0.812500
0.150000,0.875000
0.166667,0.937500
0.183334,1.000000
0.200000,1.000000
0.216667,1.000000
0.233334,1.000000
0.250000,1.000000
0.266667,1.000000
0.283334,1.000000
0.300000,1.000000
0.316667,1.000000
0.333334,1.000000
0.350000,1.000000
0.366667,1.000000
0.383334,1.000000
0.400000,1.000000
