render_tick,elapsed_seconds
0,0.026384872
1,0.071493960
2,0.509313873
3,0.516725484
4,0.533964038
5,0.550705561
6,0.575377406
7,0.586630980
8,0.604733442
9,0.625732637
10,0.643287298
11,0.662101966
12,0.681845585
13,0.702139434
14,0.720881551
