frame,time,phase,age,fire_time,fire_weight,hit_time,hit_weight,barrel_angle,foot_displacement,ammo,health
1270,5.630356,3,0.785879,0.000000,0.000000,0.000000,0.000000,0.000000,0.056133,59,100.000000
1271,5.641391,3,0.796913,0.000000,0.000000,0.000000,0.000000,0.000000,0.056617,59,100.000000
1272,5.653826,3,0.809349,0.000000,0.000000,0.000000,0.000000,0.000000,0.056891,59,100.000000
1273,5.666247,3,0.821770,0.000000,0.000000,0.000000,0.000000,0.000000,0.057209,59,100.000000
1274,5.678882,3,0.834405,0.000000,0.000000,0.000000,0.000000,0.000000,0.056262,59,100.000000
1275,5.691089,3,0.846612,0.000000,0.000000,0.000000,0.000000,0.000000,0.055405,59,100.000000
1276,5.704548,3,0.860070,0.000000,0.000000,0.000000,0.000000,0.000000,0.054868,59,100.000000
1277,5.718707,3,0.874229,0.000000,0.000000,0.000000,0.000000,0.000000,0.054955,59,100.000000
1278,5.731947,3,0.887470,0.000000,0.000000,0.000000,0.000000,0.000000,0.055032,59,100.000000
1279,5.746210,3,0.901733,0.000000,0.000000,0.000000,0.000000,0.000000,0.054113,59,100.000000
1280,5.759693,3,0.915216,0.000000,0.000000,0.000000,0.000000,0.000000,0.053460,59,100.000000
1281,5.772975,3,0.928497,0.000000,0.000000,0.000000,0.000000,0.000000,0.052814,59,100.000000
1282,5.786149,3,0.941672,0.000000,0.000000,0.000000,0.000000,0.000000,0.051935,59,100.000000
1283,5.798734,3,0.954256,0.000000,0.000000,0.000000,0.000000,0.000000,0.051148,59,100.000000
1284,5.811003,3,0.966526,0.000000,0.000000,0.000000,0.000000,0.000000,0.052695,59,100.000000
1285,5.823699,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054565,59,100.000000
1286,5.838323,4,0.014624,0.000000,0.000000,0.000000,0.000000,0.000000,0.055975,59,100.000000
1287,5.851807,4,0.028108,0.000000,0.000000,0.000000,0.000000,0.000000,0.056096,59,100.000000
1288,5.864576,4,0.040876,0.000000,0.000000,0.000000,0.000000,0.000000,0.056389,59,100.000000
1289,5.878782,4,0.055083,0.000000,0.000000,0.000000,0.000000,0.000000,0.058126,59,100.000000
1290,5.894156,4,0.070456,0.000000,0.000000,0.000000,0.000000,0.000000,0.060276,59,100.000000
1291,5.908339,4,0.084639,0.000000,0.000000,0.000000,0.000000,0.000000,0.060167,59,100.000000
1292,5.921157,4,0.097458,0.000000,0.000000,0.000000,0.000000,0.000000,0.058763,59,100.000000
1293,5.934817,4,0.111118,0.000000,0.000000,0.000000,0.000000,0.000000,0.057357,59,100.000000
1294,5.947662,4,0.123963,0.000000,0.000000,0.000000,0.000000,0.000000,0.056667,59,100.000000
1295,5.960540,4,0.136841,0.000000,0.000000,0.000000,0.000000,0.000000,0.056011,59,100.000000
1296,5.973869,4,0.150169,0.000000,0.000000,0.000000,0.000000,0.000000,0.056591,59,100.000000
1297,5.986555,4,0.162856,0.000000,0.000000,0.000000,0.000000,0.000000,0.058169,59,100.000000
1298,6.000153,4,0.176453,0.000000,0.000000,0.000000,0.000000,0.000000,0.059915,59,100.000000
1299,6.012766,4,0.189066,0.000000,0.000000,0.000000,0.000000,0.000000,0.061154,59,100.000000
1300,6.025488,4,0.201789,0.000000,0.000000,0.000000,0.000000,0.000000,0.062476,59,100.000000
1301,6.038144,4,0.214444,0.000000,0.000000,0.000000,0.000000,0.000000,0.063382,59,100.000000
1302,6.050182,4,0.226483,0.000000,0.000000,0.000000,0.000000,0.000000,0.063574,59,100.000000
1303,6.062684,4,0.238985,0.000000,0.000000,0.000000,0.000000,0.000000,0.063829,59,100.000000
1304,6.075929,4,0.252229,0.000000,0.000000,0.000000,0.000000,0.000000,0.063075,59,100.000000
1305,6.087788,4,0.264089,0.000000,0.000000,0.000000,0.000000,0.000000,0.061980,59,100.000000
1306,6.099245,4,0.275545,0.000000,0.000000,0.000000,0.000000,0.000000,0.060938,59,100.000000
1307,6.108913,4,0.285213,0.000000,0.000000,0.000000,0.000000,0.000000,0.062140,59,100.000000
1308,6.118363,4,0.294663,0.000000,0.000000,0.000000,0.000000,0.000000,0.063511,59,100.000000
