render_tick,elapsed_seconds
0,0.028965054
1,0.477230084
2,0.484074279
3,0.501109123
4,0.519794935
5,0.554554899
6,0.576992845
7,0.595827830
8,0.610151602
9,0.629027028
10,0.647414423
11,0.664986709
12,0.684009448
13,0.700874659
14,0.720163504
15,0.737545605
