render_tick,elapsed_seconds,file_cache,automatic
0,0.034559104,0,869
1,0.371527525,0,4191
2,0.385337059,0,4191
3,0.402539050,0,4182
4,0.420492937,0,4177
5,0.448549396,0,4162
6,0.464389836,0,4162
7,0.481473983,0,4155
8,0.498442498,0,4154
9,0.514779239,0,4137
10,0.533572204,0,4131
11,0.550383884,0,4126
12,0.566798527,0,4110
13,0.583918355,0,4104
14,0.600296176,0,4099
