render_tick,elapsed_seconds
0,0.034559104
1,0.371527525
2,0.385337059
3,0.402539050
4,0.420492937
5,0.448549396
6,0.464389836
7,0.481473983
8,0.498442498
9,0.514779239
10,0.533572204
11,0.550383884
12,0.566798527
13,0.583918355
14,0.600296176
