render_tick,elapsed_seconds,file_cache,automatic
0,0.027543041,0,1028
1,0.512378050,0,5483
2,0.518301621,0,5482
3,0.535471801,0,5465
4,0.553258306,0,5459
5,0.604968451,0,5424
6,0.617468269,0,5417
7,0.634467496,0,5397
8,0.652495545,0,5384
9,0.669373360,0,5390
10,0.685825694,0,5390
11,0.704537229,0,5379
12,0.722430556,0,5378
13,0.740610429,0,5379
