phase,foot,sole_error,normal_angle,weight,capsule_z
flat,0,-0.527242,0.000000,0.000000,1088.000000
flat,1,-0.634630,0.000000,0.000000,1088.000000
slope_positive,0,-11.012827,24.953693,0.000000,1088.000000
slope_positive,1,-1.160234,24.865141,0.000000,1088.000000
slope_negative,0,4.816103,24.941339,0.000000,1088.000000
slope_negative,1,-5.120256,25.228418,0.000000,1088.000000
split_levels,0,-12.682162,0.848551,0.000000,1088.000000
split_levels,1,11.282937,0.435021,0.000000,1088.000000
