D02_01_TEST event=fixture_world_reload_requested wall=0.016085 phase=0 waypoint=0 location=V(0) loads=0 unloads=0
D02_01_TEST event=waypoint_reached wall=147.485642 phase=8 waypoint=2 location=V(X=4001.44, Y=-720.05, Z=90.00) loads=41 unloads=24
D02_01_TEST event=waypoint_reached wall=155.253733 phase=8 waypoint=3 location=V(X=72.08, Y=-799.67, Z=90.00) loads=41 unloads=24
D02_01_TEST event=waypoint_reached wall=156.854526 phase=8 waypoint=4 location=V(X=0.92, Y=-79.29, Z=90.00) loads=41 unloads=24
D02_01_TEST event=defeat_restore wall=156.854616 phase=9 waypoint=0 location=V(X=0.92, Y=-79.29, Z=90.00) loads=41 unloads=24
D02_01_TEST event=persistent_encounter_awake_after_defeat wall=156.870591 phase=9 waypoint=0 location=V(X=0.82, Y=-71.35, Z=90.00) loads=41 unloads=24
D02_01_TEST event=invalid_debug_relocation wall=156.870774 phase=10 waypoint=0 location=V(X=100000.00, Z=-1000.00) loads=41 unloads=24
D02_01_TEST event=debug_relocation_recovered wall=157.070928 phase=10 waypoint=0 location=V(X=0.92, Y=-79.29, Z=90.00) loads=46 unloads=29
D02_01_TEST event=asynchronous_relocation wall=157.071200 phase=11 waypoint=0 location=V(X=0.92, Y=-79.29, Z=90.00) loads=46 unloads=29
D02_01_TEST event=unavailable_relocation wall=157.196939 phase=12 waypoint=0 location=V(X=19000.00, Z=90.00) loads=52 unloads=29
D02_01_TEST event=relocation_retry wall=167.208360 phase=13 waypoint=0 location=V(X=19000.00, Z=90.00) loads=52 unloads=39
D02_01_TEST event=capture_wait wall=167.261776 phase=14 waypoint=0 location=V(Z=90.00) loads=57 unloads=39
D02_01_TEST event=complete wall=167.445781 phase=14 waypoint=0 location=V(Z=90.00) loads=57 unloads=45
