frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
657,1.635606014,16.663767,16.974423,0,0.000,0.000,90.000,17,17,3751690240,100.000,60,0.000,2
658,1.652302751,16.696737,16.668087,0,0.000,0.000,90.000,17,17,3751739392,100.000,60,0.000,2
659,1.669581781,17.279030,16.667087,0,0.000,0.000,90.000,17,17,3751780352,100.000,60,0.000,2
660,1.687768590,18.186809,17.261939,0,0.000,0.000,90.000,17,17,3751837696,100.000,60,0.000,2
661,1.705580661,17.812071,18.198719,0,0.000,0.000,90.000,17,17,3751870464,100.000,60,0.000,2
662,1.723692149,18.111488,17.822031,0,0.000,0.000,90.000,17,17,3751907328,100.000,60,0.000,2
663,1.740860686,17.168537,18.140218,1,0.000,0.000,90.000,17,17,3751956480,93.000,59,20.000,2
664,2.519193118,778.332432,17.183108,1,0.000,0.000,90.000,17,17,3750715392,93.000,59,20.000,2
665,2.526228029,7.034911,778.184959,1,0.000,0.000,90.000,17,17,3750723584,93.000,59,20.000,2
666,2.539007993,12.779964,16.667477,1,0.000,0.000,90.000,17,17,3750752256,93.000,59,20.000,2
667,2.555748371,16.740378,16.667577,1,0.000,0.000,90.000,17,17,3750801408,93.000,59,20.000,2
668,2.575213007,19.464636,16.668116,1,0.000,0.000,90.000,17,17,3750862848,93.000,59,20.000,2
669,2.594405787,19.192780,16.667957,1,0.000,0.000,90.000,17,17,3751104512,93.000,59,20.000,2
670,2.612203298,17.797511,16.668057,1,0.000,0.000,90.000,17,17,3751141376,93.000,59,20.000,2
671,2.630616742,18.413444,16.667646,1,0.000,0.000,90.000,17,17,3751186432,93.000,59,20.000,2
672,2.647969194,17.352452,16.667987,1,0.070,-0.663,90.000,17,17,3751227392,93.000,59,20.000,2
673,2.665564280,17.595086,16.667617,1,0.130,-1.993,90.000,17,17,3751260160,93.000,59,20.000,2
674,2.683321280,17.757000,16.667276,1,0.182,-3.991,90.000,17,17,3751313408,93.000,59,20.000,2
675,2.699811893,16.490613,16.668327,1,0.228,-6.655,90.000,17,17,3751358464,93.000,59,20.000,2
676,2.715960848,16.148955,16.667637,1,0.266,-9.986,90.000,17,17,3751399424,93.000,59,20.000,2
677,2.731925850,15.965002,16.667556,1,0.300,-13.983,90.000,17,17,3751436288,93.000,59,20.000,2
678,2.747810500,15.884650,16.667706,1,0.328,-18.648,90.000,17,17,3751473152,93.000,59,20.000,2
679,2.763299541,15.489041,16.668607,1,0.353,-23.979,90.000,17,17,3751505920,93.000,59,20.000,2
680,2.781167413,17.867872,16.668976,1,0.373,-29.978,90.000,17,17,3751538688,93.000,59,20.000,2
681,2.797705277,16.537864,16.667277,1,0.390,-36.643,90.000,17,17,3751575552,93.000,59,20.000,2
682,2.812488963,14.783686,16.667497,1,0.404,-43.974,90.000,17,17,3751612416,93.000,59,20.000,2
683,2.828664959,16.175996,16.668206,1,0.415,-51.973,90.000,17,17,3751649280,93.000,59,20.000,2
684,2.844570139,15.905180,16.668147,1,0.424,-60.638,90.000,17,17,3751649280,93.000,59,20.000,2
