D02_01_TEST event=fixture_world_reload_requested wall=0.002103 phase=0 waypoint=0 location=V(0) loads=0 unloads=0
D02_01_TEST event=waypoint_reached wall=145.946747 phase=8 waypoint=2 location=V(X=4000.70, Y=-722.56, Z=90.00) loads=37 unloads=22
D02_01_TEST event=waypoint_reached wall=153.674823 phase=8 waypoint=3 location=V(X=75.11, Y=-799.77, Z=90.00) loads=37 unloads=22
D02_01_TEST event=waypoint_reached wall=155.248914 phase=8 waypoint=4 location=V(X=0.77, Y=-75.22, Z=90.00) loads=37 unloads=22
D02_01_TEST event=defeat_restore wall=155.249127 phase=9 waypoint=0 location=V(X=0.77, Y=-75.22, Z=90.00) loads=37 unloads=22
D02_01_TEST event=persistent_encounter_awake_after_defeat wall=155.260573 phase=9 waypoint=0 location=V(X=0.71, Y=-69.65, Z=90.00) loads=37 unloads=22
D02_01_TEST event=invalid_debug_relocation wall=155.261523 phase=10 waypoint=0 location=V(X=100000.00, Z=-1000.00) loads=37 unloads=22
D02_01_TEST event=debug_relocation_recovered wall=155.466060 phase=10 waypoint=0 location=V(X=0.77, Y=-75.22, Z=90.00) loads=40 unloads=25
D02_01_TEST event=asynchronous_relocation wall=155.466584 phase=11 waypoint=0 location=V(X=0.77, Y=-75.22, Z=90.00) loads=40 unloads=25
D02_01_TEST event=unavailable_relocation wall=155.563034 phase=12 waypoint=0 location=V(X=19000.00, Z=90.00) loads=46 unloads=25
D02_01_TEST event=relocation_retry wall=165.565217 phase=13 waypoint=0 location=V(X=19000.00, Z=90.00) loads=46 unloads=33
D02_01_TEST event=capture_wait wall=165.607235 phase=14 waypoint=0 location=V(Z=90.00) loads=51 unloads=33
D02_01_TEST event=complete wall=165.803729 phase=14 waypoint=0 location=V(Z=90.00) loads=51 unloads=39
