frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
601,0.314853349,11.929915,275.664919,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7152,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3076571136
602,0.337699589,22.846240,16.668328,1,2800.0000,-450.0000,107.0230,0.0000,0.0000,0.0000,0.0000,64.8875,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077353472
603,0.354164142,16.464553,18.356983,1,2800.0000,-450.0000,105.5058,0.0000,0.0000,0.0000,0.0000,82.6491,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3078766592
604,0.370669275,16.505133,16.667058,1,2800.0000,-450.0000,103.8602,0.0000,0.0000,0.0000,0.0000,98.7354,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3079024640
605,0.424973510,54.304235,16.668726,1,2800.0000,-450.0000,101.9469,0.0000,0.0000,0.0000,0.0000,114.7830,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3079712768
606,0.439905170,14.931660,54.004368,1,2800.0000,-450.0000,97.0565,0.0000,0.0000,0.0000,0.0000,146.7124,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080134656
607,0.454269188,14.364018,16.688668,1,2800.0000,-450.0000,94.7705,0.0000,0.0000,0.0000,0.0000,136.9796,4,59.0565,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080278016
608,0.468879720,14.610532,16.667958,1,2800.0000,-450.0000,92.6727,0.0000,0.0000,0.0000,-0.0000,125.8607,4,56.7705,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080376320
609,0.481364819,12.485099,16.669026,1,2800.0000,-450.0000,90.7753,0.0000,0.0000,0.0000,-0.0000,113.8271,4,54.6727,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080491008
610,0.497707679,16.342860,16.668548,1,2800.0000,-450.0000,89.0867,0.0000,0.0000,0.0000,-0.0000,101.3010,4,52.7753,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080585216
611,0.513583769,15.876090,16.668967,1,2800.0000,-450.0000,87.6092,0.0000,0.0000,0.0000,-0.0000,88.6426,4,51.0867,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080671232
612,0.530106804,16.523035,16.668257,1,2800.0000,-450.0000,86.3398,0.0000,0.0000,0.0000,-0.0000,76.1556,4,49.6092,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080720384
613,0.546768410,16.661606,16.667948,1,2800.0000,-450.0000,85.2716,0.0000,0.0000,0.0000,-0.0000,64.0878,4,48.3398,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080859648
614,0.563183103,16.414693,16.668057,1,2800.0000,-450.0000,84.3942,0.0000,0.0000,0.0000,-0.0000,52.6357,4,47.2716,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080925184
615,0.582649650,19.466547,16.667317,1,2800.0000,-450.0000,83.6950,0.0000,0.0000,0.0000,-0.0000,41.9499,4,46.3942,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081089024
616,0.598703154,16.053504,16.668318,1,2800.0000,-450.0000,83.1594,0.0000,0.0000,0.0000,-0.0000,32.1367,4,45.6950,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081142272
617,0.615995555,17.292401,16.668797,1,2800.0000,-450.0000,82.7715,0.0000,0.0000,0.0000,-0.0000,23.2670,4,45.1594,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081195520
618,0.632909717,16.914162,16.667997,1,2800.0000,-450.0000,82.5152,0.0000,0.0000,0.0000,-0.0000,15.3787,4,44.7715,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081277440
619,0.650420872,17.511155,16.667718,1,2800.0000,-450.0000,82.3738,0.0000,0.0000,0.0000,-0.0000,8.4808,4,44.5152,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081342976
620,0.667905837,17.484965,16.667586,1,2800.0000,-450.0000,82.3312,0.0000,0.0000,0.0000,-0.0000,2.5591,4,44.3738,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081469952
621,0.684222647,16.316810,16.667498,1,2800.0000,-450.0000,82.3715,0.0000,0.0000,0.0000,-0.0000,2.4200,4,44.3312,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081547776
622,0.702120761,17.898114,16.668108,1,2800.0000,-450.0000,82.4800,0.0000,0.0000,0.0000,0.0000,6.5054,4,44.3715,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081646080
623,0.716726714,14.605953,16.667196,1,2800.0000,-450.0000,82.6426,0.0000,0.0000,0.0000,-0.0000,9.7568,4,44.4800,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081703424
624,0.732226876,15.500162,16.668608,1,2800.0000,-450.0000,82.8467,0.0000,0.0000,0.0000,-0.0000,12.2435,4,44.6426,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081728000
625,0.748963484,16.736608,16.667607,1,2800.0000,-450.0000,83.0807,0.0000,0.0000,0.0000,0.0000,14.0390,4,44.8467,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081834496
626,0.765897087,16.933603,16.668987,1,2800.0000,-450.0000,83.3344,0.0000,0.0000,0.0000,0.0000,15.2203,4,45.0807,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081891840
627,0.782282589,16.385502,16.668198,1,2800.0000,-450.0000,83.5988,0.0000,0.0000,0.0000,0.0000,15.8647,4,45.3344,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081940992
628,0.801016720,18.734131,16.668737,1,2800.0000,-450.0000,83.8663,0.0000,0.0000,0.0000,0.0000,16.0487,4,45.5988,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082006528
629,0.812761622,11.744902,16.667777,1,2800.0000,-450.0000,84.1304,0.0000,0.0000,0.0000,0.0000,15.8457,4,45.8663,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082055680
630,0.832469165,19.707543,16.668878,1,2800.0000,-450.0000,84.3859,0.0000,0.0000,0.0000,0.0000,15.3257,4,46.1304,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082121216
631,0.849434329,16.965164,16.667617,1,2800.0000,-450.0000,84.6285,0.0000,0.0000,0.0000,0.0000,14.5538,4,46.3859,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082170368
632,0.866718199,17.283870,16.669027,1,2800.0000,-450.0000,84.8550,0.0000,0.0000,0.0000,-0.0000,13.5893,4,46.6285,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082240000
633,0.883136871,16.418672,16.667717,1,2800.0000,-450.0000,85.0631,0.0000,0.0000,0.0000,-0.0000,12.4864,4,46.8550,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082317824
634,0.899795678,16.658807,16.667238,1,2800.0000,-450.0000,85.2513,0.0000,0.0000,0.0000,0.0000,11.2929,4,47.0631,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082371072
