phase,fire_peak,hit_peak,barrel_peak,foot_peak
fire,0.850000,0.000000,1.671800,0.014028
hit,0.000000,0.650000,1.957638,0.037650
overlap,0.850000,0.650000,1.943151,0.012184
rival_hit,0.000000,0.650000,2.035128,0.020860
