frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
928,0.787419247,8.323462,8.113058,0,0.000,0.000,90.000,12,12,2929418240,100.000,60,0.000,2
929,0.795783981,8.364734,8.395524,0,0.000,0.000,90.000,12,12,2929418240,100.000,60,0.000,2
930,0.804126055,8.342074,8.286763,0,0.000,0.000,90.000,12,12,2929467392,100.000,60,0.000,2
931,0.812513609,8.387554,8.346143,0,0.000,0.000,90.000,12,12,2929467392,100.000,60,0.000,2
932,0.820720019,8.206410,8.374023,0,0.000,0.000,90.000,12,12,2929471488,100.000,60,0.000,2
933,0.829389860,8.669841,8.176420,0,0.000,0.000,90.000,12,12,2929524736,100.000,60,0.000,2
934,0.838286925,8.897065,8.676111,0,0.000,0.000,90.000,12,12,2929528832,100.000,60,0.000,2
935,0.846996546,8.709621,8.872465,0,0.000,0.000,90.000,12,12,2929602560,100.000,60,0.000,2
936,0.855892801,8.896255,8.706371,0,0.000,0.000,90.000,12,12,2929647616,100.000,60,0.000,2
937,0.864857438,8.964637,8.898166,0,0.000,0.000,90.000,12,12,2929659904,100.000,60,0.000,2
938,0.873494968,8.637530,8.967017,0,0.000,0.000,90.000,12,12,2929704960,100.000,60,0.000,2
939,0.881745439,8.250471,8.642149,0,0.000,0.000,90.000,12,12,2929717248,100.000,60,0.000,2
940,0.890352959,8.607520,8.234341,0,0.000,0.000,90.000,12,12,2929786880,100.000,60,0.000,2
941,0.899102131,8.749172,8.660740,0,0.000,0.000,90.000,12,12,2929790976,100.000,60,0.000,2
942,0.907666939,8.564808,8.946687,0,0.000,0.000,90.000,12,12,2929840128,100.000,60,0.000,2
943,0.915964181,8.297242,8.511886,0,0.000,0.000,90.000,12,12,2929856512,100.000,60,0.000,2
944,0.924824146,8.859965,8.298463,0,0.000,0.000,90.000,12,12,2929901568,100.000,60,0.000,2
945,0.933358153,8.534007,8.837945,0,0.000,0.000,90.000,12,12,2929901568,100.000,60,0.000,2
946,0.941902891,8.544738,8.521396,0,0.000,0.000,90.000,12,12,2929913856,100.000,60,0.000,2
947,0.950756565,8.853674,8.551389,0,0.000,0.000,90.000,12,12,2929954816,100.000,60,0.000,2
948,0.959501088,8.744523,8.849284,0,0.000,0.000,90.000,12,12,2929995776,100.000,60,0.000,2
949,0.968186159,8.685071,8.776812,0,0.000,0.000,90.000,12,12,2929999872,100.000,60,0.000,2
950,0.980175892,11.989733,8.613030,0,0.000,0.000,90.000,12,12,2930049024,100.000,60,0.000,2
951,0.990305605,10.129713,12.076815,0,0.000,0.000,90.000,12,12,2930053120,100.000,60,0.000,2
952,0.998944584,8.638979,10.158823,0,0.000,0.000,90.000,12,12,2930094080,100.000,60,0.000,2
953,1.007153215,8.208631,8.594719,0,0.000,0.000,90.000,12,12,2930094080,100.000,60,0.000,2
954,1.016510300,9.357085,8.230841,0,0.000,0.000,90.000,12,12,2930143232,100.000,60,0.000,2
955,1.024931005,8.420705,9.324844,0,0.000,0.000,90.000,12,12,2930143232,100.000,60,0.000,2
956,1.033164336,8.233331,8.479137,0,0.000,0.000,90.000,12,12,2930204672,100.000,60,0.000,2
957,1.041405017,8.240681,8.227001,0,0.000,0.000,90.000,12,12,2930216960,100.000,60,0.000,2
958,1.050609929,9.204912,8.326772,0,0.000,0.000,90.000,12,12,2930262016,100.000,60,0.000,2
959,1.060140859,9.530930,9.098030,0,0.000,0.000,90.000,12,12,2930270208,100.000,60,0.000,2
960,1.070328493,10.187634,9.519470,0,0.000,0.000,90.000,12,12,2930323456,100.000,60,0.000,2
961,1.080292421,9.963928,10.226684,0,0.000,0.000,90.000,12,12,2930331648,100.000,60,0.000,2
962,1.088724576,8.432155,10.019050,0,0.000,0.000,90.000,12,12,2930376704,100.000,60,0.000,2
963,1.097550890,8.826314,8.177590,0,0.000,0.000,90.000,12,12,2930376704,100.000,60,0.000,2
964,1.107071329,9.520439,8.987647,0,0.000,0.000,90.000,12,12,2930425856,100.000,60,0.000,2
965,1.115332231,8.260902,9.526780,0,0.000,0.000,90.000,12,12,2930429952,100.000,60,0.000,2
966,1.124012691,8.680460,8.278851,0,0.000,0.000,90.000,12,12,2930479104,100.000,60,0.000,2
967,1.132191332,8.178641,8.642351,0,0.000,0.000,90.000,12,12,2930479104,100.000,60,0.000,2
968,1.140742359,8.551027,8.211370,0,0.000,0.000,90.000,12,12,2930540544,100.000,60,0.000,2
969,1.149214746,8.472387,8.537037,0,0.000,0.000,90.000,12,12,2930540544,100.000,60,0.000,2
970,1.158223444,9.008698,8.487987,0,0.000,0.000,90.000,12,12,2930593792,100.000,60,0.000,2
971,1.167552288,9.328844,9.108560,0,0.000,0.000,90.000,12,12,2930601984,100.000,60,0.000,2
