phase,fire_peak,hit_peak,barrel_peak,foot_peak
fire,0.000000,0.000000,0.000000,0.014161
hit,0.000000,0.000000,0.000000,0.032741
overlap,0.000000,0.000000,0.000000,0.017157
rival_hit,0.000000,0.000000,0.000000,0.020228
