frame,time,phase,age,actor_x,actor_y,actor_z,left_x,left_y,left_z,right_x,right_y,right_z,pelvis_z,left_weight,right_weight,max_contact_error
878,0.558288,1,0.553642,-1000.0000,-900.0000,1088.0000,-991.8022,-918.8886,1007.8258,-1021.2738,-895.2999,1007.8263,1088.4414,1.0000,1.0000,0.0000
879,0.570234,1,0.565588,-1000.0000,-900.0000,1088.0000,-991.8075,-918.8858,1007.8258,-1021.2748,-895.2966,1007.8263,1088.4399,1.0000,1.0000,0.0000
880,0.582420,1,0.577774,-1000.0000,-900.0000,1088.0000,-991.8129,-918.8830,1007.8258,-1021.2758,-895.2933,1007.8263,1088.4384,1.0000,1.0000,0.0000
881,0.595601,1,0.590955,-1000.0000,-900.0000,1088.0000,-991.8113,-918.8832,1007.8258,-1021.2739,-895.2936,1007.8263,1088.4375,1.0000,1.0000,0.0000
882,0.608276,1,0.603630,-1000.0000,-900.0000,1088.0000,-991.8093,-918.8837,1007.8258,-1021.2719,-895.2941,1007.8263,1088.4368,1.0000,1.0000,0.0000
883,0.620625,1,0.615979,-1000.0000,-900.0000,1088.0000,-991.8088,-918.8840,1007.8258,-1021.2711,-895.2942,1007.8263,1088.4363,1.0000,1.0000,0.0000
884,0.633482,1,0.628837,-1000.0000,-900.0000,1088.0000,-991.8113,-918.8840,1007.8258,-1021.2728,-895.2933,1007.8263,1088.4365,1.0000,1.0000,0.0000
885,0.647238,1,0.642593,-1000.0000,-900.0000,1088.0000,-991.8140,-918.8841,1007.8258,-1021.2746,-895.2923,1007.8263,1088.4367,1.0000,1.0000,0.0000
886,0.661150,1,0.656505,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8830,1007.8258,-1021.2765,-895.2910,1007.8263,1088.4370,1.0000,1.0000,0.0000
887,0.673371,1,0.668725,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8818,1007.8258,-1021.2781,-895.2898,1007.8263,1088.4372,1.0000,1.0000,0.0000
888,0.686761,1,0.682115,-1000.0000,-900.0000,1088.0000,-991.8152,-918.8807,1007.8258,-1021.2800,-895.2888,1007.8263,1088.4373,1.0000,1.0000,0.0000
889,0.699144,1,0.694498,-1000.0000,-900.0000,1088.0000,-991.8173,-918.8801,1007.8258,-1021.2816,-895.2885,1007.8263,1088.4371,1.0000,1.0000,0.0000
890,0.712210,1,0.707565,-1000.0000,-900.0000,1088.0000,-991.8196,-918.8795,1007.8258,-1021.2834,-895.2881,1007.8263,1088.4368,1.0000,1.0000,0.0000
891,0.724286,1,0.719641,-1000.0000,-900.0000,1088.0000,-991.8176,-918.8810,1007.8258,-1021.2827,-895.2896,1007.8263,1088.4368,1.0000,1.0000,0.0000
892,0.736646,1,0.732000,-1000.0000,-900.0000,1088.0000,-991.8131,-918.8839,1007.8258,-1021.2807,-895.2921,1007.8263,1088.4369,1.0000,1.0000,0.0000
893,0.749412,1,0.744766,-1000.0000,-900.0000,1088.0000,-991.8084,-918.8869,1007.8258,-1021.2786,-895.2947,1007.8263,1088.4370,1.0000,1.0000,0.0000
894,0.761636,1,0.756991,-1000.0000,-900.0000,1088.0000,-991.8051,-918.8874,1007.8258,-1021.2789,-895.2923,1007.8263,1088.4380,1.0000,1.0000,0.0000
895,0.774725,1,0.770079,-1000.0000,-900.0000,1088.0000,-991.8015,-918.8877,1007.8258,-1021.2793,-895.2896,1007.8263,1088.4391,1.0000,1.0000,0.0000
896,0.787026,1,0.782380,-1000.0000,-900.0000,1088.0000,-991.8007,-918.8888,1007.8258,-1021.2803,-895.2908,1007.8263,1088.4398,1.0000,1.0000,0.0000
897,0.799861,1,0.795215,-1000.0000,-900.0000,1088.0000,-991.8058,-918.8917,1007.8258,-1021.2827,-895.3009,1007.8263,1088.4399,1.0000,1.0000,0.0000
898,0.812499,1,0.807853,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8946,1007.8258,-1021.2850,-895.3109,1007.8263,1088.4400,1.0000,1.0000,0.0000
899,0.824950,1,0.820304,-1000.0000,-900.0000,1088.0000,-991.8105,-918.8934,1007.8258,-1021.2841,-895.3108,1007.8263,1088.4400,1.0000,1.0000,0.0000
900,0.839005,1,0.834360,-1000.0000,-900.0000,1088.0000,-991.8071,-918.8899,1007.8258,-1021.2813,-895.3053,1007.8263,1088.4399,1.0000,1.0000,0.0000
901,0.851722,1,0.847076,-1000.0000,-900.0000,1088.0000,-991.8046,-918.8872,1007.8258,-1021.2788,-895.3006,1007.8263,1088.4398,1.0000,1.0000,0.0000
902,0.865881,1,0.861235,-1000.0000,-900.0000,1088.0000,-991.8053,-918.8872,1007.8258,-1021.2756,-895.2979,1007.8263,1088.4397,1.0000,1.0000,0.0000
903,0.879629,1,0.874983,-1000.0000,-900.0000,1088.0000,-991.8061,-918.8872,1007.8258,-1021.2726,-895.2953,1007.8263,1088.4396,1.0000,1.0000,0.0000
904,0.892225,1,0.887579,-1000.0000,-900.0000,1088.0000,-991.8077,-918.8873,1007.8258,-1021.2707,-895.2943,1007.8263,1088.4394,1.0000,1.0000,0.0000
905,0.906013,1,0.901367,-1000.0000,-900.0000,1088.0000,-991.8099,-918.8874,1007.8258,-1021.2689,-895.2938,1007.8263,1088.4391,1.0000,1.0000,0.0000
906,0.920596,1,0.915950,-1000.0000,-900.0000,1088.0000,-991.8122,-918.8870,1007.8258,-1021.2673,-895.2937,1007.8263,1088.4387,1.0000,1.0000,0.0000
907,0.933155,1,0.928509,-1000.0000,-900.0000,1088.0000,-991.8141,-918.8853,1007.8258,-1021.2664,-895.2943,1007.8263,1088.4380,1.0000,1.0000,0.0000
908,0.946786,1,0.942141,-1000.0000,-900.0000,1088.0000,-991.8161,-918.8835,1007.8258,-1021.2654,-895.2950,1007.8263,1088.4373,1.0000,1.0000,0.0000
909,0.960303,1,0.955658,-1000.0000,-900.0000,1088.0000,-991.8150,-918.8795,1007.8258,-1021.2630,-895.2955,1007.8263,1088.4371,1.0000,1.0000,0.0000
910,0.973281,1,0.968636,-1000.0000,-900.0000,1088.0000,-991.8130,-918.8752,1007.8258,-1021.2603,-895.2959,1007.8263,1088.4370,1.0000,1.0000,0.0000
911,0.985576,1,0.980930,-1000.0000,-900.0000,1088.0000,-991.8117,-918.8715,1007.8258,-1021.2579,-895.2963,1007.8263,1088.4370,1.0000,1.0000,0.0000
912,0.999019,1,0.994373,-1000.0000,-900.0000,1088.0000,-991.8129,-918.8697,1007.8258,-1021.2563,-895.2972,1007.8263,1088.4369,1.0000,1.0000,0.0000
913,1.012128,1,1.007482,-1000.0000,-900.0000,1088.0000,-991.8140,-918.8680,1007.8258,-1021.2548,-895.2980,1007.8263,1088.4369,1.0000,1.0000,0.0000
914,1.024229,1,1.019583,-1000.0000,-900.0000,1088.0000,-991.8096,-918.8687,1007.8258,-1021.2524,-895.2985,1007.8263,1088.4368,1.0000,1.0000,0.0000
915,1.037377,1,1.032731,-1000.0000,-900.0000,1088.0000,-991.8013,-918.8710,1007.8258,-1021.2492,-895.2990,1007.8263,1088.4367,1.0000,1.0000,0.0000
916,1.050356,1,1.045710,-1000.0000,-900.0000,1088.0000,-991.7933,-918.8733,1007.8258,-1021.2461,-895.2993,1007.8263,1088.4367,1.0000,1.0000,0.0000
917,1.062620,1,1.057975,-1000.0000,-900.0000,1088.0000,-991.7944,-918.8762,1007.8258,-1021.2459,-895.2984,1007.8263,1088.4367,1.0000,1.0000,0.0000
918,1.075258,1,1.070613,-1000.0000,-900.0000,1088.0000,-991.7955,-918.8791,1007.8258,-1021.2457,-895.2975,1007.8263,1088.4367,1.0000,1.0000,0.0000
919,1.087913,1,1.083267,-1000.0000,-900.0000,1088.0000,-991.7942,-918.8808,1007.8258,-1021.2448,-895.2968,1007.8263,1088.4367,1.0000,1.0000,0.0000
920,1.100633,1,1.095987,-1000.0000,-900.0000,1088.0000,-991.7888,-918.8802,1007.8258,-1021.2425,-895.2966,1007.8263,1088.4367,1.0000,1.0000,0.0000
921,1.113067,1,1.108421,-1000.0000,-900.0000,1088.0000,-991.7836,-918.8797,1007.8258,-1021.2403,-895.2964,1007.8263,1088.4367,1.0000,1.0000,0.0000
922,1.126638,1,1.121992,-1000.0000,-900.0000,1088.0000,-991.7858,-918.8847,1007.8258,-1021.2416,-895.2981,1007.8263,1088.4364,1.0000,1.0000,0.0000
923,1.138914,1,1.134268,-1000.0000,-900.0000,1088.0000,-991.7904,-918.8910,1007.8258,-1021.2440,-895.3002,1007.8263,1088.4360,1.0000,1.0000,0.0000
924,1.151856,1,1.147210,-1000.0000,-900.0000,1088.0000,-991.7943,-918.8962,1007.8258,-1021.2465,-895.3018,1007.8263,1088.4358,1.0000,1.0000,0.0000
925,1.164374,1,1.159728,-1000.0000,-900.0000,1088.0000,-991.7929,-918.8930,1007.8258,-1021.2489,-895.2996,1007.8263,1088.4361,1.0000,1.0000,0.0000
926,1.177240,1,1.172595,-1000.0000,-900.0000,1088.0000,-991.7914,-918.8896,1007.8258,-1021.2513,-895.2973,1007.8263,1088.4365,1.0000,1.0000,0.0000
927,1.191161,1,1.186515,-1000.0000,-900.0000,1088.0000,-991.7918,-918.8888,1007.8258,-1021.2533,-895.2975,1007.8263,1088.4369,1.0000,1.0000,0.0000
928,1.203096,1,1.198450,-1000.0000,-900.0000,1088.0000,-991.7934,-918.8900,1007.8258,-1021.2547,-895.2995,1007.8263,1088.4373,1.0000,1.0000,0.0000
929,1.215298,1,1.210653,-1000.0000,-900.0000,1088.0000,-991.7951,-918.8912,1007.8258,-1021.2560,-895.3015,1007.8263,1088.4376,1.0000,1.0000,0.0000
930,1.227074,1,1.222428,-1000.0000,-900.0000,1088.0000,-991.7976,-918.8908,1007.8258,-1021.2580,-895.2998,1007.8263,1088.4367,1.0000,1.0000,0.0000
931,1.238762,1,1.234117,-1000.0000,-900.0000,1088.0000,-991.8001,-918.8902,1007.8258,-1021.2600,-895.2976,1007.8263,1088.4357,1.0000,1.0000,0.0000
932,1.249936,1,1.245290,-1000.0000,-900.0000,1088.0000,-991.8025,-918.8895,1007.8258,-1021.2619,-895.2955,1007.8263,1088.4347,1.0000,1.0000,0.0000
933,1.261598,1,1.256953,-1000.0000,-900.0000,1088.0000,-991.8038,-918.8876,1007.8258,-1021.2632,-895.2958,1007.8263,1088.4334,1.0000,1.0000,0.0000
934,1.273321,1,1.268675,-1000.0000,-900.0000,1088.0000,-991.8051,-918.8857,1007.8258,-1021.2644,-895.2961,1007.8263,1088.4321,1.0000,1.0000,0.0000
935,1.285411,1,1.280766,-1000.0000,-900.0000,1088.0000,-991.8064,-918.8836,1007.8258,-1021.2656,-895.2963,1007.8263,1088.4308,1.0000,1.0000,0.0000
936,1.297340,1,1.292695,-1000.0000,-900.0000,1088.0000,-991.8076,-918.8808,1007.8258,-1021.2663,-895.2962,1007.8263,1088.4303,1.0000,1.0000,0.0000
937,1.309126,1,1.304480,-1000.0000,-900.0000,1088.0000,-991.8088,-918.8780,1007.8258,-1021.2670,-895.2961,1007.8263,1088.4299,1.0000,1.0000,0.0000
938,1.321006,1,1.316360,-1000.0000,-900.0000,1088.0000,-991.8099,-918.8771,1007.8258,-1021.2670,-895.2963,1007.8263,1088.4296,1.0000,1.0000,0.0000
939,1.333243,1,1.328598,-1000.0000,-900.0000,1088.0000,-991.8110,-918.8794,1007.8258,-1021.2660,-895.2971,1007.8263,1088.4295,1.0000,1.0000,0.0000
940,1.345261,1,1.340616,-1000.0000,-900.0000,1088.0000,-991.8120,-918.8817,1007.8258,-1021.2649,-895.2978,1007.8263,1088.4294,1.0000,1.0000,0.0000
941,1.356909,1,1.352263,-1000.0000,-900.0000,1088.0000,-991.8117,-918.8811,1007.8258,-1021.2650,-895.2980,1007.8263,1088.4291,1.0000,1.0000,0.0000
942,1.368840,1,1.364195,-1000.0000,-900.0000,1088.0000,-991.8107,-918.8784,1007.8258,-1021.2658,-895.2978,1007.8263,1088.4287,1.0000,1.0000,0.0000
943,1.380778,1,1.376133,-1000.0000,-900.0000,1088.0000,-991.8096,-918.8758,1007.8258,-1021.2666,-895.2976,1007.8263,1088.4282,1.0000,1.0000,0.0000
944,1.392561,1,1.387915,-1000.0000,-900.0000,1088.0000,-991.8085,-918.8742,1007.8258,-1021.2672,-895.2973,1007.8263,1088.4277,1.0000,1.0000,0.0000
945,1.403826,1,1.399181,-1000.0000,-900.0000,1088.0000,-991.8073,-918.8730,1007.8258,-1021.2679,-895.2969,1007.8263,1088.4271,1.0000,1.0000,0.0000
946,1.413997,1,1.409351,-1000.0000,-900.0000,1088.0000,-991.8063,-918.8719,1007.8258,-1021.2684,-895.2966,1007.8263,1088.4266,1.0000,1.0000,0.0000
947,1.424720,1,1.420075,-1000.0000,-900.0000,1088.0000,-991.8058,-918.8728,1007.8258,-1021.2686,-895.2973,1007.8263,1088.4261,1.0000,1.0000,0.0000
948,1.437126,1,1.432481,-1000.0000,-900.0000,1088.0000,-991.8053,-918.8747,1007.8258,-1021.2685,-895.2985,1007.8263,1088.4254,1.0000,1.0000,0.0000
949,1.449406,1,1.444761,-1000.0000,-900.0000,1088.0000,-991.8049,-918.8766,1007.8258,-1021.2685,-895.2996,1007.8263,1088.4248,1.0000,1.0000,0.0000
950,1.461400,1,1.456754,-1000.0000,-900.0000,1088.0000,-991.7995,-918.8751,1007.8258,-1021.2665,-895.2971,1007.8263,1088.4242,1.0000,1.0000,0.0000
951,1.473546,1,1.468900,-1000.0000,-900.0000,1088.0000,-991.7937,-918.8734,1007.8258,-1021.2643,-895.2944,1007.8263,1088.4236,1.0000,1.0000,0.0000
952,1.485820,1,1.481174,-1000.0000,-900.0000,1088.0000,-991.7897,-918.8714,1007.8258,-1021.2625,-895.2925,1007.8263,1088.4229,1.0000,1.0000,0.0000
953,1.497328,1,1.492682,-1000.0000,-900.0000,1088.0000,-991.7922,-918.8686,1007.8258,-1021.2625,-895.2936,1007.8263,1088.4221,1.0000,1.0000,0.0000
954,1.508957,1,1.504311,-1000.0000,-900.0000,1088.0000,-991.7948,-918.8657,1007.8258,-1021.2625,-895.2947,1007.8263,1088.4212,1.0000,1.0000,0.0000
955,1.521407,1,1.516762,-1000.0000,-900.0000,1088.0000,-991.7973,-918.8614,1007.8258,-1021.2632,-895.2948,1007.8263,1088.4202,1.0000,1.0000,0.0000
956,1.533282,1,1.528637,-1000.0000,-900.0000,1088.0000,-991.7991,-918.8555,1007.8258,-1021.2648,-895.2932,1007.8263,1088.4191,1.0000,1.0000,0.0000
957,1.545570,1,1.540925,-1000.0000,-900.0000,1088.0000,-991.8010,-918.8494,1007.8258,-1021.2665,-895.2916,1007.8263,1088.4179,1.0000,1.0000,0.0000
958,1.558345,1,1.553699,-1000.0000,-900.0000,1088.0000,-991.8008,-918.8478,1007.8258,-1021.2660,-895.2927,1007.8263,1088.4168,1.0000,1.0000,0.0000
959,1.570177,1,1.565531,-1000.0000,-900.0000,1088.0000,-991.7996,-918.8487,1007.8258,-1021.2643,-895.2951,1007.8263,1088.4159,1.0000,1.0000,0.0000
960,1.582702,1,1.578056,-1000.0000,-900.0000,1088.0000,-991.7984,-918.8496,1007.8258,-1021.2626,-895.2976,1007.8263,1088.4149,1.0000,1.0000,0.0000
961,1.594179,1,1.589533,-1000.0000,-900.0000,1088.0000,-991.7944,-918.8493,1007.8258,-1021.2619,-895.2964,1007.8263,1088.4140,1.0000,1.0000,0.0000
962,1.606932,1,1.602286,-1000.0000,-900.0000,1088.0000,-991.7898,-918.8489,1007.8258,-1021.2611,-895.2948,1007.8263,1088.4129,1.0000,1.0000,0.0000
963,1.619489,1,1.614843,-1000.0000,-900.0000,1088.0000,-991.7865,-918.8480,1007.8258,-1021.2608,-895.2937,1007.8263,1088.4118,1.0000,1.0000,0.0000
964,1.631336,1,1.626690,-1000.0000,-900.0000,1088.0000,-991.7874,-918.8458,1007.8258,-1021.2618,-895.2936,1007.8263,1088.4101,1.0000,1.0000,0.0000
965,1.644799,1,1.640154,-1000.0000,-900.0000,1088.0000,-991.7884,-918.8433,1007.8258,-1021.2630,-895.2936,1007.8263,1088.4082,1.0000,1.0000,0.0000
966,1.657425,1,1.652779,-1000.0000,-900.0000,1088.0000,-991.7879,-918.8407,1007.8258,-1021.2625,-895.2938,1007.8263,1088.4064,1.0000,1.0000,0.0000
967,1.671328,1,1.666682,-1000.0000,-900.0000,1088.0000,-991.7862,-918.8377,1007.8258,-1021.2609,-895.2942,1007.8263,1088.4044,1.0000,1.0000,0.0000
968,1.684527,1,1.679881,-1000.0000,-900.0000,1088.0000,-991.7848,-918.8348,1007.8258,-1021.2598,-895.2945,1007.8263,1088.4026,1.0000,1.0000,0.0000
969,1.697834,1,1.693188,-1000.0000,-900.0000,1088.0000,-991.7860,-918.8318,1007.8258,-1021.2629,-895.2942,1007.8263,1088.4007,1.0000,1.0000,0.0000
970,1.710947,1,1.706301,-1000.0000,-900.0000,1088.0000,-991.7873,-918.8288,1007.8258,-1021.2658,-895.2939,1007.8263,1088.3988,1.0000,1.0000,0.0000
971,1.724117,1,1.719471,-1000.0000,-900.0000,1088.0000,-991.7870,-918.8276,1007.8258,-1021.2670,-895.2939,1007.8263,1088.3971,1.0000,1.0000,0.0000
972,1.736619,1,1.731974,-1000.0000,-900.0000,1088.0000,-991.7856,-918.8277,1007.8258,-1021.2669,-895.2942,1007.8263,1088.3955,1.0000,1.0000,0.0000
973,1.749193,1,1.744547,-1000.0000,-900.0000,1088.0000,-991.7842,-918.8278,1007.8258,-1021.2667,-895.2944,1007.8263,1088.3940,1.0000,1.0000,0.0000
974,1.762654,1,1.758008,-1000.0000,-900.0000,1088.0000,-991.7825,-918.8246,1007.8258,-1021.2662,-895.2948,1007.8263,1088.3923,1.0000,1.0000,0.0000
975,1.775237,1,1.770591,-1000.0000,-900.0000,1088.0000,-991.7810,-918.8215,1007.8258,-1021.2658,-895.2952,1007.8263,1088.3907,1.0000,1.0000,0.0000
976,1.788135,1,1.783489,-1000.0000,-900.0000,1088.0000,-991.7796,-918.8185,1007.8258,-1021.2653,-895.2953,1007.8263,1088.3891,1.0000,1.0000,0.0000
977,1.800640,1,1.795994,-1000.0000,-900.0000,1088.0000,-991.7786,-918.8160,1007.8258,-1021.2648,-895.2949,1007.8263,1088.3877,1.0000,1.0000,0.0000
978,1.813518,1,1.808872,-1000.0000,-900.0000,1088.0000,-991.7775,-918.8134,1007.8258,-1021.2643,-895.2946,1007.8263,1088.3862,1.0000,1.0000,0.0000
979,1.826249,1,1.821603,-1000.0000,-900.0000,1088.0000,-991.7766,-918.8129,1007.8258,-1021.2638,-895.2947,1007.8263,1088.3848,1.0000,1.0000,0.0000
980,1.838632,1,1.833987,-1000.0000,-900.0000,1088.0000,-991.7757,-918.8130,1007.8258,-1021.2632,-895.2950,1007.8263,1088.3833,1.0000,1.0000,0.0000
981,1.852807,1,1.848161,-1000.0000,-900.0000,1088.0000,-991.7749,-918.8126,1007.8258,-1021.2626,-895.2955,1007.8263,1088.3818,1.0000,1.0000,0.0000
982,1.865210,1,1.860565,-1000.0000,-900.0000,1088.0000,-991.7747,-918.8108,1007.8258,-1021.2627,-895.2963,1007.8263,1088.3809,1.0000,1.0000,0.0000
983,1.877933,1,1.873287,-1000.0000,-900.0000,1088.0000,-991.7745,-918.8090,1007.8258,-1021.2627,-895.2972,1007.8263,1088.3800,1.0000,1.0000,0.0000
984,1.890379,1,1.885734,-1000.0000,-900.0000,1088.0000,-991.7750,-918.8064,1007.8258,-1021.2634,-895.2966,1007.8263,1088.3791,1.0000,1.0000,0.0000
