render_tick,elapsed_seconds
0,0.022821333
1,0.048886867
2,0.067257004
3,0.437793729
4,0.454271295
5,0.470680089
6,0.488808882
7,0.514604960
8,0.527547010
9,0.543717509
10,0.559600853
11,0.578400670
12,0.597808910
13,0.615413940
14,0.632628742
15,0.651721475
16,0.669741095
