name,frame,sim_time,yaw
static_000,828,7.038528,0.000000
static_001,830,7.223780,0.000000
static_002,832,7.422278,0.000000
static_003,834,7.592331,0.000000
static_004,836,7.789366,0.000000
static_005,838,7.957136,0.000000
static_006,840,8.122540,0.000000
static_007,842,8.324701,0.000000
static_008,844,8.496874,0.000000
static_009,846,8.666933,0.000000
pan_000,1340,14.700278,-24.866675
pan_001,1342,14.875688,-22.674053
pan_002,1344,15.049810,-20.497529
pan_003,1346,15.221807,-18.347571
pan_004,1348,15.394752,-16.185758
pan_005,1350,15.568718,-14.011184
pan_006,1352,15.741993,-11.845243
pan_007,1354,15.915034,-9.682228
pan_008,1356,16.089175,-7.505469
pan_009,1358,16.265191,-5.305264
pan_010,1360,16.442235,-3.092215
pan_011,1362,16.620470,-0.864282
pan_012,1364,16.801166,1.394424
pan_013,1366,16.983694,3.676023
pan_014,1368,17.164242,5.932870
pan_015,1370,17.345625,8.200157
pan_016,1372,17.514951,10.316735
pan_017,1374,17.685500,12.448590
pan_018,1376,17.855654,14.575520
pan_019,1378,18.027327,16.721431
pan_020,1380,18.188201,18.732363
pan_021,1382,18.363358,20.921824
pan_022,1384,18.538252,23.107998
pan_023,1386,18.714217,25.000000
pan_024,1388,18.888067,25.000000
pan_025,1390,19.056653,25.000000
pan_026,1392,19.225220,25.000000
pan_027,1394,19.396181,25.000000
pan_028,1396,19.597260,25.000000
pan_029,1398,19.774727,25.000000
pan_030,1400,19.952929,25.000000
pan_031,1402,20.128910,25.000000
walk_end,1530,22.144015,0.000000
