frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1148,3.494890,2,0.481475,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.758956,8.681617,6.132371
1149,3.509690,2,0.496275,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.763284,8.679369,6.132371
1150,3.524220,2,0.510805,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.767776,8.675080,6.132371
1151,3.539239,2,0.525824,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770425,8.671520,6.132371
1152,3.554212,2,0.540797,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.769974,8.669305,6.132371
1153,3.568400,2,0.554985,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770081,8.667758,6.132371
1154,3.581760,2,0.568345,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773863,8.670039,6.132371
1155,3.595852,2,0.582437,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777843,8.672447,6.132371
1156,3.609148,2,0.595733,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.781037,8.674673,6.132371
1157,3.625512,2,0.612097,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.784637,8.677388,6.132371
1158,3.638849,2,0.625434,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.787777,8.678141,6.132371
1159,3.652000,2,0.638585,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.791159,8.676834,6.132371
1160,3.665103,2,0.651688,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.794533,8.675543,6.132371
1161,3.679013,2,0.665598,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.794389,8.673682,6.132371
1162,3.693581,2,0.680166,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.793734,8.671667,6.132371
1163,3.707247,2,0.693832,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.791680,8.670786,6.132371
