render_tick,elapsed_seconds
0,0.024725054
1,0.385515108
2,0.390703458
3,0.408698150
4,0.426452527
5,0.469080481
6,0.482740830
7,0.502578621
8,0.519462190
9,0.537418211
10,0.554356110
11,0.570412811
12,0.589947325
13,0.606799532
14,0.623526757
